,created_at,favorite_count,id_str,is_retweet,retweet_count,source,text
4153,Mon Apr 09 00:43:27 +0000 2018,92509,983143317889323008,False,12862,Twitter for iPhone,"Congratulations to Patrick Reed on his great and courageous MASTERS win! When Patrick had his amazing win at Doral 5 years ago, people saw his great talent, and a bright future ahead. Now he is the Masters Champion!"
4154,Sun Apr 08 13:12:57 +0000 2018,91711,982969547283161090,False,24946,Twitter for iPhone,"If President Obama had crossed his stated Red Line In The Sand, the Syrian disaster would have ended long ago! Animal Assad would have been history!"
4155,Sun Apr 08 13:04:22 +0000 2018,67780,982967389028569088,False,15616,Twitter for iPhone,....to pay. Open area immediately for medical help and verification. Another humanitarian disaster for no reason whatsoever. SICK!
4156,Sun Apr 08 13:00:06 +0000 2018,101864,982966315467116544,False,33180,Twitter for iPhone,"Many dead, including women and children, in mindless CHEMICAL attack in Syria. Area of atrocity is in lockdown and encircled by Syrian Army, making it completely inaccessible to outside world. President Putin, Russia and Iran are responsible for backing Animal Assad. Big price..."
4157,Sun Apr 08 12:12:35 +0000 2018,107756,982954355509907457,False,23906,Twitter for iPhone,"President Xi and I will always be friends, no matter what happens with our dispute on trade. China will take down its Trade Barriers because it is the right thing to do. Taxes will become Reciprocal &amp; a deal will be made on Intellectual Property. Great future for both countries!"
4158,Sun Apr 08 11:58:13 +0000 2018,81286,982950739441004544,False,20487,Twitter for iPhone,"The Washington Post is far more fiction than fact. Story after story is made up garbage - more like a poorly written novel than good reporting. Always quoting sources (not names), many of which don’t exist. Story on John Kelly isn’t True, just another hit job!"
4159,Sun Apr 08 11:44:23 +0000 2018,2174,982947260005781505,False,696,Twitter for iPhone,"The Washington Post is far more fiction than fact. Story after story is made up made garbage - more like a poorly written novel than good reporting. Always quoting sources (not names), many of which don’t exist. Story on John Kelly isn’t True...just another hit job!"
4160,Sun Apr 08 11:27:49 +0000 2018,78671,982943088330108928,False,21086,Twitter for iPhone,"“The FBI closed the case on Hillary, which was a rigged investigation. They exonerated her even before they ever interviewed her, they never even put her under oath.....” and much more. So True Jesse! @WattersWorld"
4161,Sun Apr 08 00:03:23 +0000 2018,75853,982770847046922240,False,18413,Twitter for iPhone,"While Security spending was somewhat more than his predecessor, Scott Pruitt has received death threats because of his bold actions at EPA. Record clean Air &amp; Water while saving USA Billions of Dollars. Rent was about market rate, travel expenses OK. Scott is doing a great job!"
4162,Sat Apr 07 22:42:22 +0000 2018,136189,982750459877380096,False,24434,Twitter for iPhone,Fire at Trump Tower is out. Very confined (well built building). Firemen (and women) did a great job. THANK YOU!
